Teams,Left,Middle,Right
Las Palmas,27%,56%,17%
Real Betis,24%,61%,15%
Atletico Madrid,23%,61%,16%
Rayo Vallecano,22%,58%,21%
Real Madrid,20%,63%,17%
Athletic Club,19%,66%,15%
Valencia,19%,61%,21%
Cadiz,19%,68%,13%
Deportivo Alaves,17%,68%,15%
Celta Vigo,17%,66%,18%
Almeria,17%,63%,19%
Sevilla,16%,69%,14%
Barcelona,16%,71%,13%
Granada,16%,67%,17%
Real Sociedad,15%,64%,20%
Getafe,15%,69%,16%
Villarreal,15%,67%,18%
Girona,12%,74%,14%
Osasuna,11%,74%,15%
Mallorca,10%,75%,15%
