Teams,Left,Middle,Right
Las Palmas,43%,25%,33%
Real Betis,42%,21%,37%
Real Madrid,40%,25%,35%
Real Sociedad,40%,24%,36%
Rayo Vallecano,39%,23%,38%
Getafe,39%,27%,34%
Deportivo Alaves,38%,24%,38%
Osasuna,38%,24%,38%
Cadiz,38%,26%,36%
Sevilla,37%,23%,41%
Mallorca,36%,27%,37%
Valencia,36%,22%,42%
Atletico Madrid,36%,25%,39%
Celta Vigo,36%,25%,40%
Granada,36%,26%,38%
Athletic Club,35%,25%,41%
Barcelona,35%,29%,36%
Almeria,35%,25%,40%
Girona,34%,25%,41%
Villarreal,32%,28%,40%
