Teams,6yards,18yards,Outsidethebox
Osasuna,11%,58%,31%
Granada,10%,55%,36%
Valencia,9%,56%,34%
Atletico Madrid,9%,52%,39%
Sevilla,9%,56%,35%
Almeria,9%,58%,32%
Real Betis,8%,54%,38%
Real Sociedad,8%,56%,36%
Getafe,8%,59%,33%
Celta Vigo,8%,64%,29%
Girona,8%,57%,35%
Villarreal,8%,57%,35%
Las Palmas,8%,63%,30%
Athletic Club,7%,55%,38%
Deportivo Alaves,7%,60%,33%
Barcelona,7%,59%,33%
Cadiz,7%,54%,39%
Real Madrid,6%,56%,38%
Rayo Vallecano,6%,60%,33%
Mallorca,4%,50%,46%
