,xG,PrgPasses,Gls/90,xG/90,Shots,Sh/90,SoT/90,Dist,PrgDist,FinalThirdPass,PenaltyAreaCross,SCA90,Tkl Def 3rd,Tkl Mid 3rd,Clearances,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,short_Pass_Ratio,medium_Pass_Ratio,long_Pass_Ratio,clusters,Player_Name,Pos
577,0,28,0,0,2,0.26,0.13,20.8,1967,23,3,1.03,7,7,25,27,140,253,70,3,0.48441926345609065,0.41359773371104813,0.10198300283286119,3,Kevin Vázquez,DF
566,0.1,1,0,0.06,1,0.64,0,18.5,121,1,0,3.21,0,0,2,2,7,18,25,6,0.7333333333333333,0.2,0.066666667,3,Enes Ünal,FW
218,0.1,36,0,0.03,5,1.01,0,24.4,1540,34,1,3.02,5,9,5,5,64,222,64,2,0.38434163701067614,0.4092526690391459,0.20640569395017794,3,Andrés Guardado,MF
29,0.5,20,0,0.14,9,2.39,0.53,21.7,646,17,2,2.39,3,2,7,9,30,115,44,6,0.40441176470588236,0.4117647058823529,0.18382352941176472,3,Mauro Arambarri,MF
378,0.3,21,0,0.05,4,0.6,0.15,21.4,471,11,0,2.68,3,11,10,9,30,176,87,14,0.6084656084656085,0.30687830687830686,0.084656085,3,Ilaix Moriba,MF
25,0.4,21,0,0.06,11,1.64,0.6,21.9,456,11,0,2.09,7,7,6,7,48,133,117,16,0.5804195804195804,0.32167832167832167,0.097902098,3,Selim Amallah,FW
21,0.2,31,0.16,0.03,7,1.11,0.32,22.3,1149,26,0,2.22,8,6,10,22,93,236,64,6,0.5032679738562091,0.3790849673202614,0.11764705882352941,3,Sergi Altimira,MF
28,0,7,0,0,0,0,0,0,377,4,3,4.91,1,0,8,7,34,52,37,1,0.41304347826086957,0.391304348,0.1956521739130435,3,Fabrizio Angileri,DF
19,0.1,14,0,0.03,3,1.07,0.71,20.8,803,10,1,2.86,2,3,6,7,59,100,89,7,0.56,0.335,0.105,3,Marcos Alonso,DF
563,0.5,20,0,0.13,6,1.75,0.87,20.5,550,16,0,2.33,6,1,9,13,50,91,60,5,0.49673202614379086,0.40522875816993464,0.098039216,3,Manu Trigueros,MF
241,0.9,8,0.54,0.48,1,0.54,0.54,3.8,323,6,0,2.73,0,1,2,2,16,59,42,4,0.7263157894736842,0.2631578947368421,0.010526315789473684,3,Cristian Herrera,FW
20,0,29,0,0,1,0.12,0,27.2,2133,25,2,0.7,9,6,18,38,200,278,82,2,0.46952595936794583,0.435665914,0.094808126,3,Adrià Altimira,DF
30,0.1,26,0,0.02,4,0.66,0,23.2,1243,25,1,0.66,12,10,17,22,92,214,91,3,0.46229508196721314,0.4491803278688525,0.08852459,3,Jon Aramburu,DF
244,0.7,3,0.62,0.21,3,0.92,0.92,6.2,1152,2,0,0.31,5,1,17,30,161,93,3,3,0.6135265700483091,0.3285024154589372,0.057971014492753624,3,Juan Herzog,DF
213,0,0,0,0.01,1,0.87,0,30.8,61,1,0,0.87,0,0,2,1,9,12,21,3,0.5555555555555556,0.3333333333333333,0.1111111111111111,3,Pablo Gozalbez,MF
211,0.1,6,0,0.04,2,1.15,0,17.1,293,5,0,0.58,0,3,6,8,30,65,14,1,0.5227272727272727,0.375,0.10227272727272728,3,Urko González,MF
362,1.5,3,0.29,0.45,5,1.46,0.29,16.2,59,3,0,1.46,1,3,5,5,13,56,34,13,0.7068965517241379,0.25862068965517243,0.034482758620689655,3,Marko Milovanović,FW
360,0.1,15,0,0.02,2,0.36,0.36,22.4,1956,13,0,0.36,4,3,19,61,204,155,20,3,0.3573667711598746,0.5172413793103449,0.12539184952978055,3,Éder Militão,DF
602,4.6,20,0.29,0.45,18,1.75,0.87,12.3,404,13,0,1.07,1,2,9,10,19,140,163,34,0.7262569832402235,0.24022346368715083,0.033519553,4,Roman Yaremchuk,FW
567,12.9,18,0.4,0.48,58,2.13,0.88,17.9,492,10,2,1.21,8,7,7,14,64,219,244,91,0.5905797101449275,0.32971014492753625,0.079710145,4,Myrto Uzuni,FW
557,5.5,44,0.52,0.41,38,2.82,1.11,16.6,1196,26,5,3.94,1,6,6,6,42,237,309,56,0.5935960591133005,0.312807882,0.093596059,4,Ferrán Torres,FW
605,3.8,36,0.33,0.21,33,1.81,0.99,17.7,1446,12,16,3.79,8,6,3,1,67,242,386,74,0.45012787723785164,0.3631713554987212,0.1867007672634271,4,Bryan Zaragoza,MF
518,3.3,7,0.37,0.41,15,1.85,0.62,19.1,172,5,0,1.11,0,0,3,3,13,99,128,25,0.7021276595744681,0.28368794326241137,0.014184397163120567,4,André Silva,FW
560,0.9,30,0.16,0.15,20,3.17,1.11,19.4,847,13,2,2.54,2,1,2,2,37,110,163,24,0.5346534653465347,0.33663366336633666,0.12871287128712872,4,Bertrand Traoré,MF
603,2.4,47,0.07,0.18,33,2.42,0.66,21.6,1795,31,2,4.25,8,11,10,12,76,286,331,29,0.5150905432595574,0.31388329979879276,0.1710261569416499,4,Arsen Zakharyan,MF
508,6.3,121,0.18,0.29,41,1.87,0.5,15.6,2212,80,4,3.83,3,10,5,6,67,497,516,83,0.5877551020408164,0.3619047619047619,0.050340136054421766,4,Oihan Sancet,MF
79,1.3,35,0,0.15,12,1.34,0.45,14.5,1497,23,2,3.69,10,3,10,19,101,199,150,20,0.4460227272727273,0.3522727272727273,0.20170454545454544,4,José Callejón,MF
37,1.7,11,0.19,0.17,29,2.81,0.87,22.7,615,6,1,3.88,6,4,2,3,37,158,256,30,0.5508771929824562,0.2982456140350877,0.15087719298245614,4,José Arnaiz,FW
76,14.2,42,0.63,0.53,73,2.7,1.15,12.8,814,27,2,1.55,2,11,18,23,53,307,382,152,0.6417525773195877,0.327319588,0.030927835051546393,4,Ante Budimir,FW
596,9.4,78,0.38,0.3,93,2.94,1.36,15.4,2406,29,17,3.29,6,8,29,47,134,463,859,175,0.620958751,0.3177257525083612,0.061315496,4,Iñaki Williams,FW
597,6,66,0.2,0.24,56,2.23,0.76,15.7,2545,26,22,4.81,9,15,4,14,112,372,746,148,0.5054054054054054,0.3581081081081081,0.13648648648648648,4,Nico Williams,FW
564,6.2,89,0.35,0.27,44,1.93,0.66,17,2850,44,8,3.21,11,13,24,29,161,443,567,104,0.6152019002375297,0.2992874109263658,0.085510689,4,Viktor Tsyhankov,MF
601,5.2,80,0.2,0.21,58,2.37,0.86,17.5,3009,39,16,4.41,32,15,11,14,118,460,923,147,0.6109022556390977,0.3167293233082707,0.072368421,4,Lamine Yamal,FW
510,2.5,57,0.19,0.16,23,1.43,0.56,20.1,1779,32,6,2.05,13,10,13,18,159,356,231,31,0.49064449064449067,0.3783783783783784,0.13097713097713098,4,Antonio Sánchez,MF
516,6.1,93,0.27,0.18,45,1.36,0.6,16.6,2710,28,14,3.57,14,22,11,17,169,486,878,158,0.555672269,0.36239495798319327,0.081932773,4,Sávio,FW
